primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,FSD,1,1.4595301633946178e-09
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,FSD,1,4.091060823441239e-12
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,FSD,1,9.947529466813876e-10
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,SPA+PN,,9.49862821730818e-09
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,SPA+PN,,3.3508540386861796e-10
40.75,20.375,61.125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,SPA+PN,,2.886275263236371e-08
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,FSD,1,4.428108990595092e-10
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,FSD,1,3.232747403103531e-12
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,FSD,1,2.721709524422522e-10
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,SPA+PN,,5.754675402869225e-09
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,SPA+PN,,5.020086568663373e-10
50.625,25.3125,75.9375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,SPA+PN,,2.1597542865237074e-08
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,FSD,1,1.7466861290671432e-10
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,FSD,1,3.765654454923606e-12
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,FSD,1,9.757483709904591e-11
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,SPA+PN,,3.323707309377255e-09
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,SPA+PN,,6.901128557501579e-10
60.5,30.25,90.75,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,SPA+PN,,1.5849410561763477e-08
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,FSD,1,8.16745560072718e-11
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,FSD,1,4.934497255248971e-12
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,FSD,1,4.2933656629884354e-11
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,SPA+PN,,1.842581864863746e-09
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,SPA+PN,,8.864722289558813e-10
70.375,35.1875,105.5625,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,SPA+PN,,1.1694540003048814e-08
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,inspiral,FSD,1,3.895983535784353e-11
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,merger-ringdown,FSD,1,3.661182468306379e-12
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,full,FSD,1,2.0154100610625392e-11
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,inspiral,SPA+PN,,9.701812686557787e-10
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,merger-ringdown,SPA+PN,,1.07418185457675e-09
80.25,40.125,120.375,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,full,SPA+PN,,8.732422007717844e-09
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,FSD,1,1.9914958571121133e-11
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,FSD,1,6.9046990347487736e-12
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,FSD,1,1.404742988597718e-11
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,SPA+PN,,4.902152017649541e-10
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,SPA+PN,,1.2514381753092607e-09
90.125,45.0625,135.1875,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,SPA+PN,,6.622045689574918e-09
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,FSD,1,1.555144901743688e-11
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,FSD,1,1.3456125103061822e-11
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,FSD,1,1.6665557822648225e-11
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,SPA+PN,,2.50144349678294e-10
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,SPA+PN,,1.4111783963599578e-09
100.0,50.0,150.0,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,SPA+PN,,5.100321498474614e-09
